image,ground_truth,prediction,raw_output,CER_score
test001_1,B9140BCD,B9140BCD,B9140BCD,0.0
test001_2,B2407UZO,B2407UZ,B2407UZ0,0.125
test001_3,B2842PKM,B2842PKM,B2842PKM,0.0
test002_1,BG1352AE,BG1352AE,BG1352AE,0.0
test003_1,B2634UZF,B2634UZF,B2634UZF,0.0
test003_2,B1995JVK,B1995JVK,B1995JVK,0.0
test004_1,B9062VEH,B9062VEH,89062VEH,0.0
test005_1,DD8798KM,DD2798KM,DD2798KM,0.125
test006_1,T1329KC,T1329KC,T1329KC,0.0
test007_1,AD8865EE,AD8865EE,AD8865EE,0.0
test008_1,DK1157AAB,DK1157AAB,DK1157AAB,0.0
test008_2,AA1997FE,AA1997FE,AA1997FE,0.0
test009_1,H8518NA,H8518NA,H8518NA,0.0
test009_2,K1649GB,K1649GB,K1649GB,0.0
test010_1,B9416PCN,B9416PCN,B9416PCN,0.0
test010_2,H1147UY,H1147UY,H1147UY,0.0
test011_1,H1691IL,H1691IL,H1691IL,0.0
test011_2,B9374RI,B9374RI,B9374RI,0.0
test011_3,D1204AIG,D1204AIG,D1204AIG,0.0
test012_1,E1887BA,E1887BA,E1887BA,0.0
test013_1,B1439UZP,B1439UZP,B1439UZP,0.0
test013_2,B1128WOS,B1128W,B1128W0S,0.25
test014_1,B1388DFX,B1388DFX,B1388DFX,0.0
test015_1,AD1798BT,AD1798BT,AD1798BT,0.0
test016_1,E1517DQ,E1517DO,E1517DO,0.1429
test017_1,AD8982FS,AD8982FS,AD8982FS,0.0
test018_1,L7603UA,L7603UA,L7603UA,0.0
test019_1,AD7HS,AD7HS,AD7HS0226,0.0
test019_2,B1959WYK,B1959WYK,B1959WYK,0.0
test020_1,AG8634EK,AG8634EK,AG8634EK,0.0
test020_2,AD1329PY,AD1328PY,AD1328PY,0.125
test021_1,BA1709DW,BA1709DW,BA1709DW,0.0
test021_2,W1236VZ,W1236VZ,W1236VZ,0.0
test022_1,W1825OZ,W1825OZ,W1825OZ,0.0
test022_2,L1202UE,L1202UE,L1202UE,0.0
test022_3,L3823IB,L3823ID,L3823ID0224,0.1429
test023_1,B1730JLO,B1730JL,B1730JL0,0.125
test024_1,B2964TRU,B2964TRU,B2964TRU,0.0
test025_1,S5585LP,S5585LP,S5585LP,0.0
test025_2,L2858RR,L285BR,L285BR,0.2857
test025_3,W1185ZO,W1185Z,W1185Z0,0.1429
test025_4,9840VU,B40VU,9840VU,0.3333
test026_1,N9652DF,N9652DF,N9652DF,0.0
test026_2,L3836ZX,L3836ZX,L3836ZX,0.0
test027_1,N1905IG,N1905IG,N1905IG,0.0
test027_2,B1109CLR,B1109CLR,B1109CLR,0.0
test027_3,L1840AA,L1840AA,L1840AA,0.0
test028_1,L1438EO,L1438E,L1438E0,0.1429
test028_2,L1436AAA,L1436AAA,L1436AAA,0.0
test029_1,W1518WF,W1516,W1516,0.4286
test029_2,G1986N,G1986N,G1986N,0.0
test029_3,L1588OO,L1588,L158800,0.2857
test029_4,L1436AAA,L1436AAA,L1436AAA,0.0
test030_1,S8062NF,S8062NF,S8062NF,0.0
test030_2,G1894TE,G1894TE,G1894TE,0.0
test031_1,L1560JQ,L1560JQ,L1560JQ,0.0
test031_2,L1568QO,L1568,L156800,0.2857
test031_3,L1932AAZ,L1932AAZ,L1932AAZ,0.0
test032_1,B2754SKY,B2754SKY,B2754SKY,0.0
test032_2,W1192K,W1192K,W1192K,0.0
test033_1,L4561VK,L4561VK,L4561VK,0.0
test033_2,L2693GA,L2693CA,L2693CA,0.1429
test033_3,W9847G,W9847G,W9847G,0.0
test033_4,L1762ABJ,L1762ABJ,L1762ABJ,0.0
test034_1,L1811SU,L1811SU,L1811SU,0.0
test034_2,W1167VO,W1167VB,W1167VB,0.1429
test034_3,S6131OCF,S6131,S61310CF,0.375
test034_4,L2570AAD,L2570AAD,L2570AAD,0.0
test035_1,L9643NN,L9643NN,L9643NN,0.0
test035_2,L5247GI,L5247CI,L5247CI,0.1429
test035_3,L2498AAM,L2498AAM,L2498AAM,0.0
test035_4,W1696YO,W1696YO,W1696YO,0.0
test036_1,B1231JJA,B1231JJA,B1231JJA0226,0.0
test036_2,B1618UAE,B1618UAE,B1618UAE0826,0.0
test037_1,L1775VO,L1775V,L1775V0,0.1429
test037_2,L300RX,L300RX,L300RX,0.0
test037_3,L1879VG,L1879VC,L1879VC,0.1429
test038_1,D1523YCN,D1523YCN,D1523YCN,0.0
test038_2,L1877ACU,L1877ACU,L1877ACU,0.0
test039_1,L1069VK,L1069VK,L1069VK,0.0
test040_1,S1595LL,S1595LL,S1595LL,0.0
test041_1,B1231JJA,B1231JJA,B1231JJA,0.0
test042_1,AD1174SF,AD1174SF,AD1174SF,0.0
test043_1,W1898YW,W1898YW,W1898YW,0.0
test043_2,W1470PG,W1470PG,W1470PG,0.0
test044_1,L1930KF,L1930KF,L1930KF,0.0
test044_2,N1004HE,N1004HE,N1004HE,0.0
test045_1,S1347LJ,S1347LJ,S1347LJ,0.0
test046_1,L1470ABK,L1470ABK,L1470ABK,0.0
test046_2,L1265MX,L1265MX,L1265MX,0.0
test047_1,N1524SY,N1524SY,N1524SY,0.0
test047_2,L1678ACE,L1678ACE,L1678ACE,0.0
test048_1,L9316BC,L9316BC,L9316BC,0.0
test048_2,W1838AY,W1838AY,W1838AY,0.0
test049_1,N1376DE,N1376DE,N1376DE,0.0
test049_2,N79AP,N79AP,N79AP,0.0
test050_1,L1265OF,L1265OF,L1265OF,0.0
test050_2,N1095G,N1095G,N1095G,0.0
test051_1,N1718HC,N1718HC,N1718HC,0.0
test052_1,N6497KS,N6797KS,N6797KS,0.1429
test052_2,N5235ABX,N5235ABX,N5235ABX,0.0
test052_3,N4980KJ,N4980KJ,N4980KJ,0.0
test053_1,N1365AAO,N1365AA,N1365AA0,0.125
test054_1,N1077AAK,N1077AAK,N1077AAK,0.0
test054_2,N1084AAO,N1084AAO,N1084AAO,0.0
test055_1,N1610KS,N1610KS,N1610KS,0.0
test056_1,N924CIA,N924CIA,N924CIA,0.0
test056_2,N1623HB,N1623HB,N1623HB,0.0
test056_3,L1430HF,L1430HF,L1430HF,0.0
test057_1,N1342T,N1342T,N1342T,0.0
test057_2,N4145AB,H6145AB,H6145AB,0.2857
test057_3,N1396AAH,N1396AAH,N1396AAH,0.0
test058_1,N3153ACB,N3153ACB,N3153ACB,0.0
test058_2,N5829KJ,S829KJ,5829KJ,0.2857
test058_3,N1780JL,N1780JL,N1780JL,0.0
test059_1,W8774PA,W8774PA,W8774PA,0.0
test059_2,B9162FXU,B9162FXU,B9162FXU,0.0
test060_1,L1846JE,L1846JE,L1846JE,0.0
test060_2,M1457ITA,M1457ITA,M1457ITA,0.0
test061_1,AA1971KJ,AA1971KJ,AA1971KJ,0.0
test061_2,BD1146DH,BD1146DH,BD1146DH,0.0
test062_1,B9654PEU,B9654PEU,B9654PEU,0.0
test062_2,AE7244S,AE7244S,AE7244S,0.0
test063_1,S1208BI,S1208BI,S1208BI,0.0
test064_1,AE8137G,AE8137G,AE8137G,0.0
test065_1,H1706SW,H1706SW,H1706SW,0.0
test066_1,T1220HS,T1220HS,T1220HS,0.0
test066_2,H1790ZY,H1790ZY,H1790ZY,0.0
test067_1,L1855BR,L1855BR,L1855BR,0.0
test067_2,AB1274EV,AB1274EV,AB1274EV,0.0
test068_1,B2310UZS,B2310UZS,B2310UZS,0.0
test068_2,G1264CM,G1264CM,G1264CM,0.0
test069_1,AA1138AK,AA1138AK,AA1138AK,0.0
test070_1,B2160TOB,B2160TOB,B2160TOB,0.0
test070_2,B2597BYK,B2597BYK,B2597BYK,0.0
test071_1,G9545AG,G9545AG,G9545AG,0.0
test072_1,BG1870IB,BG1870IB,BG1870IB,0.0
test073_1,T1187HB,T1187HB,T1187HB,0.0
test073_2,A1330FP,A1330FP,A1330FP,0.0
test074_1,G1368GE,G1368GE,G1368GE,0.0
test074_2,B1081CMR,B1081CMR,B1081CMR,0.0
test075_1,G2474XZ,G2474XZ,G2474XZ,0.0
test075_2,G9173BP,G9173BP,G9173BP,0.0
test075_3,7066OF,O66DF,7066DF,0.5
test076_1,G2151ASF,G2151ASF,G2151ASF,0.0
test076_2,E500MA,E500MA,E500MA,0.0
test076_3,G4689SN,G4689SN,G4689SN,0.0
test077_1,G1754QZ,G1754OZ,G1754OZ,0.1429
test078_1,H1413DH,H1413DH,H1413DH,0.0
test079_1,T1688GY,T1688GY,T1688GY,0.0
test079_2,A1260AJ,A1260AJ,A1260AJ,0.0
test080_1,D77HSB,D77HSB,D77HSB,0.0
test080_2,B1861TOI,B1861TOI,B1861TOI,0.0
test080_3,D1160ADE,D1160ADE,D1160ADE,0.0
test081_1,F8097BD,F8097BD,F8097BD,0.0
test081_2,F1992AM,F1992AM,F1992AM,0.0
test082_1,E1824YZ,E1824YZ,E1824YZ,0.0
test082_2,B9093UEX,B9093UEX,B9093UEX,0.0
test083_1,F5052AAE,F5052AAE,F5052AAE,0.0
test083_2,F5452CQ,F5452CO,F5452CO,0.1429
test084_1,B1158PYP,B1158PYP,B1158PYP,0.0
test084_2,B1242VOY,B1242VOY,B1242VOY,0.0
test085_1,B1315KIF,B1315KIF,B1315KIF,0.0
test085_2,B2938FVJ,B2938FVJ,B2938FVJ,0.0
test085_3,B2560SKZ,B2560SKZ,B2560SKZ,0.0
test086_1,B1291NOJ,B1291NOJ,B1291NOJ,0.0
test086_2,B1556NRC,B1556NRC,B1556NRC,0.0
test087_1,B6823WXR,B6823WXR,B6823WXR0127,0.0
test087_2,B6317NXK,B6317NXK,B6317NXK,0.0
test087_3,F2215FCQ,F2215FC,F2215FC0,0.125
test087_4,4039NHR,O39NHR,4039NHR,0.2857
test088_1,B2190TYB,B2190TYB,B2190TYB,0.0
test088_2,B1902VKA,B1902VKA,B1902VKA,0.0
test089_1,D8609N,D8609,D8609,0.1667
test089_2,A8406ZE,A8406ZE,A8406ZE,0.0
test089_3,B1246KRK,B1246KRK,B1246KRK,0.0
test090_1,T9314E,T9314E,T9314E,0.0
test090_2,N9579U,N579UI,N579UI,0.3333
test091_1,B2910KZW,B2910KZW,B2910KZW,0.0
test091_2,B9721KXV,B9721KXV,B9721KXV,0.0
test092_1,B1104AAA,VB1104AAA,VB1104AAA,0.125
test092_2,T1579FN,T1579FN,T1579FN,0.0
test092_3,B2346POC,B2346P,B2346P0C,0.25
test093_1,B2026BIU,B2026BIU,B2026BIU,0.0
test094_1,G1255EJ,G1255EJ,G1255EJ,0.0
test095_1,B1201KAD,B1201KAD,B1201KAD,0.0
